epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,33381.1,0.8525,0.44005,0.93187,0.98411,0.9156,0.94084,0.74986,0.85941,0.36532,0.94368,0.000163052,0.000163052,0.000163052
75,33806.8,0.84884,0.43606,0.93453,0.98451,0.91578,0.99165,0.79029,0.86157,0.36533,0.93999,0.000157231,0.000157231,0.000157231
76,34232.3,0.86021,0.43699,0.93527,0.98719,0.91358,0.954,0.76596,0.84732,0.35916,0.9384,0.00015141,0.00015141,0.00015141
77,34659.1,0.84383,0.43462,0.93376,0.98963,0.91298,0.95437,0.76935,0.84441,0.35859,0.9374,0.000145589,0.000145589,0.000145589
78,35084.6,0.83884,0.43434,0.93101,0.98396,0.91043,0.99228,0.79389,0.85194,0.36456,0.94146,0.000139768,0.000139768,0.000139768
79,35510.4,0.83942,0.4277,0.93035,0.98279,0.91272,0.94073,0.75566,0.84793,0.36166,0.93992,0.000133946,0.000133946,0.000133946
80,35936.5,0.83629,0.43193,0.93055,0.98866,0.90974,0.94086,0.76093,0.82795,0.35288,0.93642,0.000128125,0.000128125,0.000128125
81,36360.6,0.82763,0.4275,0.93431,0.98473,0.91668,0.94137,0.76129,0.8353,0.35328,0.93597,0.000122304,0.000122304,0.000122304
82,36799.7,0.82538,0.42182,0.93247,0.98208,0.91387,0.95439,0.77646,0.82525,0.35579,0.93575,0.000116483,0.000116483,0.000116483
83,37225.3,0.82905,0.42196,0.92331,0.98624,0.91713,0.95309,0.76755,0.8365,0.35208,0.93751,0.000110662,0.000110662,0.000110662
84,37651.5,0.82437,0.42661,0.93304,0.9863,0.91624,0.94161,0.75346,0.85635,0.35729,0.94103,0.00010484,0.00010484,0.00010484
85,38080.2,0.83232,0.43256,0.93237,0.98698,0.91287,0.94083,0.76049,0.82768,0.351,0.9348,9.90192e-05,9.90192e-05,9.90192e-05
86,38511.4,0.81574,0.4179,0.92735,0.98781,0.91505,0.94094,0.76259,0.83073,0.35027,0.93423,9.3198e-05,9.3198e-05,9.3198e-05
87,38975,0.81836,0.41566,0.92563,0.88627,0.99801,0.94142,0.76049,0.82609,0.34945,0.93479,8.73768e-05,8.73768e-05,8.73768e-05
88,39415.6,0.8155,0.42008,0.92616,0.89184,0.99716,0.94144,0.75744,0.84017,0.35257,0.93887,8.15556e-05,8.15556e-05,8.15556e-05
89,39867.5,0.81059,0.41399,0.92085,0.90194,0.99742,0.9545,0.77106,0.83318,0.34866,0.93446,7.57344e-05,7.57344e-05,7.57344e-05
90,40303.3,0.81054,0.41471,0.92854,0.89064,0.99628,0.95431,0.77045,0.82787,0.34883,0.93407,6.99132e-05,6.99132e-05,6.99132e-05
91,40745.3,0.79025,0.37922,0.93914,0.98737,0.91557,0.94088,0.74784,0.8591,0.35964,0.94176,6.4092e-05,6.4092e-05,6.4092e-05
92,41171.7,0.77386,0.36853,0.93406,0.98745,0.91504,0.94173,0.76086,0.81472,0.3476,0.93046,5.82708e-05,5.82708e-05,5.82708e-05
93,41606.7,0.77455,0.3694,0.93138,0.98525,0.91443,0.94183,0.76681,0.81503,0.34286,0.92939,5.24496e-05,5.24496e-05,5.24496e-05
94,42032.7,0.76252,0.39257,0.92514,0.98655,0.91574,0.93526,0.75545,0.82049,0.34397,0.9319,4.66284e-05,4.66284e-05,4.66284e-05
95,42457.6,0.76473,0.36036,0.9287,0.88365,0.99716,0.94169,0.76053,0.82446,0.34552,0.9323,4.08072e-05,4.08072e-05,4.08072e-05
96,42882.3,0.77518,0.36556,0.94518,0.98629,0.91568,0.93496,0.7575,0.81379,0.34232,0.92981,3.4986e-05,3.4986e-05,3.4986e-05
97,43305.6,0.75552,0.36083,0.92941,0.88631,0.99716,0.94172,0.7631,0.81664,0.34209,0.92986,2.91648e-05,2.91648e-05,2.91648e-05
98,43730.1,0.76237,0.36153,0.92467,0.98536,0.91845,0.94199,0.76515,0.81263,0.34027,0.92859,2.33436e-05,2.33436e-05,2.33436e-05
99,44153.8,0.74914,0.35437,0.927,0.98641,0.9176,0.94184,0.76596,0.80901,0.33773,0.92747,1.75224e-05,1.75224e-05,1.75224e-05
100,44578,0.75428,0.36959,0.92191,0.98628,0.91816,0.94183,0.76602,0.80839,0.33819,0.92718,1.17012e-05,1.17012e-05,1.17012e-05
